Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,1828,1540.09,1526.6,9.94297,90,-1.78152,-61.693,15.1773,65.0363,63.8359
1,1852,1539.37,1533,9.41917,90,-1.85436,-63.9768,16.4455,66.231,265.051
2,1858,1509.06,1520.2,10.8498,270,-1.75179,-63.5846,16.6476,63.8924,120.348
3,1876,1519.57,1533,7.10203,90,-1.76027,-59.9257,9.66787,63.6768,67.2837
4,1882,1506.57,1517,10.7436,270,-1.77565,-65.7116,20.0903,65.2536,121.856
5,1900,1530.41,1517,6.44795,270,-1.75643,-60.1838,9.65638,63.4737,239.018
6,1906,1538.14,1529.8,9.45859,90,-1.7789,-62.1937,13.9931,64.972,266.281
7,1912,1515.01,1526.08,5.16558,84.0533,-1.74599,-58.5559,10.0492,62.6316,62.5298
8,1930,1532.46,1520.2,6.57139,270,-1.74626,-59.1088,8.87406,63.1946,269.116
9,1936,1516.88,1529.8,6.74419,90,-1.74588,-59.9568,9.43436,62.9636,68.842
10,1942,1509.93,1523.4,10.0022,270,-1.7512,-61.9051,15.1506,63.4102,56.3127
11,1954,1502.2,1526.6,3.61248,90,-1.81263,-64.5642,22.8603,65.855,127.39
12,1966,1547.2,1520.2,3.91901,270,-1.84095,-64.3992,22.7141,67.7798,68.7065
13,1972,1500.97,1529.8,3.38121,90,-1.80676,-65.5427,24.5059,66.6944,108.857
14,1984,1530.75,1523.4,6.51733,270,-1.78962,-55.8665,5.97236,62.7637,324.842
15,1996,1490.3,1526.6,1.73549,90,-1.83737,-67.9965,34.7358,71.6016,73.8372
16,2002,1545.85,1523.4,4.6878,270,-1.80433,-63.3474,20.9154,67.0455,97.7127
17,2020,1489.62,1529.8,1.18637,90,-1.83773,-68.4172,35.6996,72.2443,77.0951
18,2026,1559.5,1523.4,1.9693,270,-1.88508,-67.5056,34.5366,74.3256,65.3065
19,2038,1517,1510.41,0,180,-1.85907,-63.2769,16.6411,65.3503,63.4297
20,2044,1502.59,1533,3.85772,90,-1.82078,-66.0731,23.7993,66.8733,114.215
21,2050,1544.72,1517,4.9047,270,-1.81599,-64.6941,21.2815,67.2568,96.1332
22,2056,1568.98,1523.4,0,270,-1.92284,-69.5754,44.0049,80.5945,60.9659
23,2068,1481.11,1526.6,0,90,-1.9261,-69.9798,43.9206,77.5084,62.0203
24,2074,1526.6,1293.03,20.5701,0,-3.13056,-84.731,231.975,242.328,11.956
25,2080,1583.37,1523.4,8.70236,270,-2.02744,-71.9423,58.3911,91.1628,49.6838
26,2092,1490.29,1533,4.32294,90,-1.85291,-68.7953,35.6173,72.5118,84.6262
27,2098,1640.24,1520.2,16.9086,270,-2.40809,-77.8645,115.34,138.089,23.249
28,2104,1517,1449.42,18.7705,180,-2.08345,-74.7452,76.0068,103.955,27.5638
29,2110,1533,1570.89,18.4239,0,-2.00979,-71.0855,46.5808,86.6817,70.5104
30,2116,1559.27,1520.2,2.6555,270,-1.88805,-67.639,34.6021,74.2702,65.8805
31,2122,1345.36,1529.8,16.7682,90,-2.43862,-82.1231,179.706,185.838,30.13
32,2128,1517,1385.59,18.1785,180,-2.37553,-79.9043,139.639,156.571,26.8482
33,2134,1411.07,1526.6,19.3799,90,-2.24214,-78.1375,113.94,130.077,33.132
34,2140,1363.73,1526.6,18.6253,90,-2.42552,-81.1669,161.281,169.348,38.8726
35,2146,1624.25,1523.4,19.4984,270,-2.38256,-76.4976,99.2672,124.148,27.7531
36,2152,1533,1747.99,18.5528,0,-2.78714,-84.2695,223.138,243.622,64.4174
37,2164,1696.41,1520.2,20.3645,270,-2.90914,-81.2852,171.478,190.681,24.1046
38,2170,1336.32,1526.6,17.7944,90,-2.44786,-82.5075,188.683,194.252,36.4641
