Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,6526,1312.08,23.4,31.2871,270,-1.56102,-84.0248,212.923,220.223,1239.79
1,6538,1322.8,20.2,30.7661,270,-1.56607,-83.5563,202.256,210.901,768.181
2,6550,1711.34,33,32.3845,90,-1.44414,-82.4861,186.516,175.453,396.232
3,6556,1750.15,29.8,31.7415,90,-1.59035,-84.0923,225.204,230.18,1843.48
4,6562,1353.75,17,31.8051,270,-1.5085,-82.1698,171.433,185.893,411.208
5,6568,1368.22,20.2,31.9588,270,-1.42097,-81.4248,156.85,174.934,390.759
6,6574,1632.76,33,32.248,90,-1.58373,-77.893,108.06,147.169,1010.08
7,6580,1771.46,26.6,34.9229,90,-1.77943,-84.8711,246.466,249.645,66.2544
8,6586,1403.78,17,31.0502,270,-1.52711,-79.1867,121.481,153.104,427.546
9,6592,1393.63,23.4,31.2793,270,-1.55417,-79.8748,131.379,158.525,1285.15
10,6598,1704.38,29.8,32.1462,90,-1.57103,-82.1531,179.448,193.476,873.903
11,6604,1757.35,26.6,35.1122,90,-1.62957,-84.3443,232.357,236.324,66.1393
12,6610,1601.23,33,32.2511,90,-1.46917,-74.9176,76.644,122.432,309.951
13,6616,1457.17,17,30.7932,270,-1.54353,-74.4673,68.301,129.042,1071.98
14,6622,1432.6,20.2,31.336,270,-1.54394,-76.8859,92.5295,138.21,667.417
15,6628,1454.62,23.4,31.7432,270,-1.50944,-74.4268,70.3981,129.364,703.39
16,6634,1555.34,33,31.1684,90,-1.55596,-68.2911,31.3744,119.75,205.183
17,6640,1639.51,29.8,32.236,90,-1.53736,-78.2875,114.614,150.549,983.07
18,6646,1659.88,26.6,32.582,90,-1.54423,-79.7156,134.888,162.58,492.558
19,6652,1503.03,17,31.2104,270,-1.63693,-66.7103,23.3765,118.68,526.469
20,6658,1493.89,20.2,30.7809,270,-1.74633,-68.0755,31.4764,119.54,1230.56
21,6664,1497.7,23.4,30.9633,270,-1.69942,-66.5176,27.3504,118.727,794.211
22,6670,1594.04,29.8,32.6055,90,-1.58312,-74.012,69.2036,129.83,505.693
23,6676,1614.32,26.6,32.3913,90,-1.58207,-76.107,89.3312,137.784,433.742
24,6682,1510.82,33,31.5289,90,-1.55081,-63.6042,16.2769,118.001,308.421
25,6688,1547.5,29.8,31.8263,90,-1.601,-65.2334,23.0023,118.365,528.946
26,6694,1569.71,26.6,32.3163,90,-1.57151,-70.1756,44.7367,122.135,569.445
27,6700,1538.63,20.2,30.9142,270,-1.50781,-61.4232,14.4481,117.671,1679.3
28,6706,1541.13,23.4,31.6553,270,-1.56883,-61.0982,16.2122,117.619,584.325
29,6712,1569.22,17,31.6102,270,-1.46812,-69.754,44.9418,122.692,516.299
30,6718,1581.62,20.2,32.1608,270,-1.54964,-71.6424,56.8279,125.728,216.529
31,6724,1606.51,23.4,31.7213,270,-1.58035,-74.7418,81.5277,134.449,657.644
32,6730,1460.77,33,32.1371,90,-1.54642,-73.4489,64.7251,127.909,1064.31
33,6736,1501.74,29.8,31.7441,90,-1.49371,-65.0434,23.7497,118.423,1995.9
34,6742,1616.13,17,31.9303,270,-1.56615,-75.8602,91.4821,139.158,404.252
35,6748,1526.24,26.6,32.9976,90,-1.48745,-54.8954,2.02164,117.136,210.436
36,6754,1412.25,33,31.3924,90,-1.48323,-78.1324,113.037,148.544,296.413
37,6760,1440.76,29.8,32.0853,90,-1.53051,-75.5874,84.372,134.702,604.293
38,6766,1478.8,26.6,33.4913,90,-1.6492,-70.3403,46.2308,122.612,129.017
39,6772,1661.36,20.2,32.3464,270,-1.48171,-79.3069,136.443,185.692,1515.44
40,6778,1651.12,23.4,30.6869,270,-1.50667,-78.5988,126.125,157.214,283.522
41,6784,1367.18,33,31.9926,90,-1.48098,-80.9515,158.019,175.944,428.181
42,6790,1431.6,26.6,33.1306,90,-1.49742,-76.3575,93.4119,138.471,178.549
43,6796,1356.34,29.8,31.8813,90,-1.40201,-81.5187,168.726,183.646,376.708
44,6802,1316.76,33,32.1991,90,-1.60254,-83.364,208.397,216.522,347.083
45,6814,1692.97,23.4,32.401,270,-1.55029,-81.1109,167.974,209.738,514.767
46,6838,1772.05,17,32.4589,270,-1.84076,-84.4392,247.181,250.531,82.9407
47,6850,1377.19,26.6,34.1108,90,-1.47636,-80.3576,147.814,168.734,68.4323
48,6880,1756.93,23.4,33.0219,270,-1.7751,-83.9191,231.936,235.968,56.2992
