Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,2092,1524.21,1529.8,3.55856,90,-0.791135,-55.987,4.86519,66.7949,192.51
1,2140,1518.95,1525.11,0,77.1008,-0.791621,-56.1288,6.04838,66.7583,404.261
2,2218,1511.4,1526.6,1.31152,90,-0.792754,-60.7375,13.6955,67.9898,134.784
3,2248,1531.56,1523.4,4.83009,270,-0.794947,-56.3191,6.75566,67.2277,148.349
4,2314,1514.7,1517,8.63582,270,-0.793922,-62.0926,13.0397,67.3659,52.7397
5,2326,1513.04,1529.8,1.92532,90,-0.79187,-61.6034,12.8885,67.915,95.205
6,2374,1502.47,1526.6,1.98435,90,-0.795614,-64.4515,22.5831,70.4555,104.365
7,2440,1520.2,1733.32,20.0427,180,-1.16023,-84.0668,208.375,193.525,52.1054
8,2452,1544.37,1523.4,1.79271,270,-0.799419,-62.8197,19.4319,68.8378,108.707
9,2476,1517,1726.37,17.2257,180,-1.09474,-83.8085,201.527,189.761,798.467
10,2494,1478.94,1523.4,12.4555,270,-0.794356,-70.8094,46.085,73.9584,35.479
11,2554,1523.4,1698.15,19.826,180,-0.896961,-82.4571,173.157,161.698,34.7273
12,2566,1553.61,1523.4,0,270,-0.802809,-65.9707,28.6551,70.6584,108.239
13,2578,1502.82,1529.8,3.32623,90,-0.813824,-64.9858,22.692,70.7905,99.5985
14,2608,1492.27,1526.6,3.37405,90,-0.791902,-67.4961,32.7698,74.6293,126.305
15,2614,1513.51,1520.2,9.23969,270,-0.79347,-62.0383,12.453,66.8776,49.865
16,2626,1523.4,1510.41,0,180,-0.804235,-61.1847,14.6795,69.0935,146.836
17,2638,1521.46,1533,5.56882,90,-0.795749,-59.4079,8.74827,67.6076,99.4529
18,2650,1523.4,1661.25,21.1007,180,-0.893389,-80.3808,136.255,130.989,34.1247
19,2668,1561.21,1523.4,0,270,-0.803683,-67.9348,36.2449,73.0412,107.706
20,2686,1531.13,1520.2,6.46765,270,-0.791185,-58.4673,7.78874,67.603,58.6979
21,2704,1545.82,1520.2,5.1098,270,-0.799887,-63.9495,21.37,70.1001,103.796
22,2710,1517,1691.92,18.2771,180,-0.886082,-82.181,167.112,158.065,24.8584
23,2728,1532.65,1517,6.25359,270,-0.798278,-60.8291,11.0706,68.2753,69.5146
24,2734,1496.98,1533,0,90,-0.790831,-67.4179,29.144,72.2,125.756
25,2746,1558.74,1520.2,2.69299,270,-0.803409,-67.5168,34.0818,73.2048,106.972
26,2764,1491.11,1529.8,2.37629,90,-0.792135,-68.0615,34.228,74.6887,125.555
27,2770,1546.93,1517,4.50348,270,-0.819944,-65.2146,23.3452,70.7018,152.836
28,2776,1507.36,1533,2.86921,90,-0.816197,-64.8599,19.3649,69.7394,126.74
29,2782,1568.85,1520.2,0,270,-0.824859,-69.6475,44.1126,76.2215,106.36
30,2800,1480.9,1533,0,90,-0.796773,-70.4968,44.8193,78.6783,123.744
31,2806,1568.82,1523.4,0,270,-0.82526,-69.5481,43.8521,76.0892,107.091
32,2818,1568.77,1517,0,270,-0.825726,-69.8875,44.4917,76.6638,105.627
33,2824,1533,1334.74,18.3261,0,-1.09976,-83.1229,190.425,189.434,19.2663
34,2830,1481.09,1529.8,0,90,-0.801778,-70.1468,44.1668,78.4154,124.476
35,2836,1473.24,1526.6,0,90,-0.807227,-71.382,51.7819,82.5135,124.151
36,2848,1576.76,1523.4,0,270,-0.82861,-70.9667,51.7817,79.4936,106.459
37,2854,1488.74,1533,0,90,-0.812399,-69.1132,37.1281,75.1371,124.775
