-4409.27,0,0,-373.811,0,-3.48058,-87.3014,-89.8203,-0.861596,-94.4713,-3.22388,-4.44928,-81.3057,0,0,-3.35801,-4.63945,-15.629
0,-4409.27,-99.7999,-2.82646,-65.4542,-3010.39,-2.94262,0,-73.8505,-0.43317,-84.872,-650.992,-4.28476,-4.82931,-4.42547,-37.5487,0,-4.48263
0,-99.7999,-4409.27,0,-183.362,-73.4731,0,0,-215.314,0,-428.428,0,-3.01831,-4.55459,-4.63053,-42.4597,0,-3.82427
-373.811,-2.82646,0,-4409.27,0,-4.36819,-119.99,-112.423,-3.22504,-121.946,-4.1351,-4.73376,-147.579,-85.4931,0,-4.06113,-4.47589,-47.1076
0,-65.4542,-183.362,0,-4409.27,-52.1113,0,0,-722.116,0,-201.41,-19.0065,-3.33337,-4.54729,-4.51725,-75.5506,0,-3.9421
-3.48058,-3010.39,-73.4731,-4.36819,-52.1113,-4409.27,-4.29953,-3.53379,-72.5609,-3.73438,-93.9091,-1213.12,-4.62631,-4.05949,-2.79173,-42.2318,-102.586,-4.31671
-87.3014,-2.94262,0,-119.99,0,-4.29953,-4409.27,-2604.54,-3.2744,-4409.27,-4.08366,-4.6008,-412.161,-34.9522,0,-4.00385,-4.31264,-101.127
-89.8203,0,0,-112.423,0,-3.53379,-2604.54,-4409.27,-1.44448,-1691.61,-3.29843,-4.36589,-289.29,0,0,-3.39763,-4.49564,-51.2479
-0.861596,-73.8505,-215.314,-3.22504,-722.116,-72.5609,-3.2744,-1.44448,-4409.27,-1.97117,-377.775,-64.5478,-4.22236,-4.46471,-3.93418,-87.8106,-76.9437,-4.28802
-94.4713,-0.43317,0,-121.946,0,-3.73438,-4409.27,-1691.61,-1.97117,-4409.27,-3.50179,-4.45748,-393.693,0,0,-3.55911,-4.50983,-60.869
-3.22388,-84.872,-428.428,-4.1351,-201.41,-93.9091,-4.08366,-3.29843,-377.775,-3.50179,-4409.27,-95.5992,-4.44376,-3.97657,-2.86166,-75.3154,-256.834,-4.18863
-4.44928,-650.992,0,-4.73376,-19.0065,-1213.12,-4.6008,-4.36589,-64.5478,-4.45748,-95.5992,-4409.27,-4.33347,-2.45964,0,-42.1681,-137.443,-3.59951
-81.3057,-4.28476,-3.01831,-147.579,-3.33337,-4.62631,-412.161,-289.29,-4.22236,-393.693,-4.44376,-4.33347,-4409.27,-82.8068,-65.7194,-4.21766,-3.38177,-99.477
0,-4.82931,-4.55459,-85.4931,-4.54729,-4.05949,-34.9522,0,-4.46471,0,-3.97657,-2.45964,-82.8068,-4409.27,-1258.16,-3.57173,0,-48.6479
0,-4.42547,-4.63053,0,-4.51725,-2.79173,0,0,-3.93418,0,-2.86166,0,-65.7194,-1258.16,-4409.27,-2.29481,0,-44.8273
-3.35801,-37.5487,-42.4597,-4.06113,-75.5506,-42.2318,-4.00385,-3.39763,-87.8106,-3.55911,-75.3154,-42.1681,-4.21766,-3.57173,-2.29481,-4409.27,-51.3125,-3.90802
-4.63945,0,0,-4.47589,0,-102.586,-4.31264,-4.49564,-76.9437,-4.50983,-256.834,-137.443,-3.38177,0,0,-51.3125,-4409.27,-1.86926
-15.629,-4.48263,-3.82427,-47.1076,-3.9421,-4.31671,-101.127,-51.2479,-4.28802,-60.869,-4.18863,-3.59951,-99.477,-48.6479,-44.8273,-3.90802,-1.86926,-4409.27
