Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,1588,1523.17,1471.11,1.68761,182.686,-1.76268,-71.7164,53.9218,112.589,64.3636
1,1750,1523.4,1461.99,0,180,-1.75683,-73.0487,63.0314,114.879,44.3976
2,1852,1523.4,1454.54,0,180,-1.64936,-74.0077,70.48,117.554,43.8576
3,1876,1561.53,1490.18,12.5543,318.741,-1.77058,-72.2204,50.4655,125.665,22.5723
4,1942,1523.4,1447.09,0,180,-1.76324,-74.8721,77.9291,120.804,43.292
5,1948,1574.15,1513.63,11.3842,349.232,-1.75962,-71.3614,50.4438,130.458,27.0291
6,1990,1293.94,1520.2,15.9221,270,-2.76749,-84.7152,231.107,237.019,31.4279
7,2026,1571.89,1518.91,15.2638,352.53,-1.73984,-70.6284,47.2846,127.654,23.8917
8,2038,1523.4,1439.64,0,180,-1.76725,-75.6587,85.3784,124.504,42.6881
9,2044,1774.17,1529.8,16.1132,90,-5.64795,-84.9659,249.216,279.523,9.45511
10,2056,1517.02,1474.9,6.52006,218.164,-1.72781,-72.3801,50.7297,111.504,32.6561
11,2080,1571.71,1544.25,12.0368,26.1618,-1.71177,-71.9196,50.5219,133.036,21.2343
12,2086,1317.21,1523.4,17.912,270,-2.80095,-83.793,207.794,201.969,21.2744
13,2104,1501.07,1565.8,12.8187,123.741,-1.6657,-71.6519,47.2996,121.53,19.9433
14,2110,1523.4,1432.19,0,180,-1.78335,-76.3803,92.8281,128.629,42.0506
15,2116,1435.57,1520.2,12.5916,270,-1.64169,-76.5273,89.561,129.243,28.6099
16,2128,1520.2,1746.33,15.3495,180,-4.15071,-84.5995,221.379,256.239,13.0578
17,2140,1523.4,1424.73,0,180,-1.83669,-77.0468,100.278,133.184,41.417
18,2146,1469.43,1526.6,0,90,-1.67059,-71.9875,55.5908,115.405,70.4674
19,2152,1529.8,1421.11,14.5484,0,-1.83401,-77.8828,104.002,136.454,296.271
20,2158,1461.88,1526.6,0,90,-1.67168,-73.0746,63.1396,117.889,96.5897
21,2164,1473.64,1518.79,6.14132,204.878,-1.6733,-72.2601,51.7335,113.59,33.2122
22,2170,1502.04,1569.89,12.6686,120.027,-1.70819,-72.2241,50.4222,126.512,19.1366
23,2176,1624.39,1529.8,13.554,90,-1.84709,-77.0432,99.505,161.052,31.1628
24,2182,1481.92,1544.41,10.1053,158.99,-1.61453,-72.0509,47.249,115.178,22.8523
25,2188,1529.8,1460.66,7.5822,0,-1.72212,-73.8097,64.5166,114.377,29.2568
26,2194,1526.6,1580.56,0,0,-1.77631,-72.2644,55.5835,133.991,62.0498
27,2200,1523.4,1409.83,0,180,-1.86626,-78.2443,115.182,143.793,40.2476
28,2206,1453.32,1526.6,1.38135,90,-1.67805,-74.1668,71.7013,120.998,89.7437
29,2218,1523.4,1417.28,0,180,-1.80551,-77.666,107.728,138.242,40.8311
30,2224,1480.83,1500.58,11.6453,212.342,-1.68559,-72.5352,50.4709,112.348,22.7343
31,2230,1482.34,1551.9,9.76219,150.914,-1.59383,-72.5148,50.4357,119.992,23.2321
32,2236,1379.99,1520.2,17.2149,270,-1.80246,-80.7162,145.085,166.694,27.3924
33,2242,1443.95,1526.6,2.27531,90,-1.72629,-75.2201,81.0675,125.28,52.3239
34,2248,1529.8,1649.94,14.6832,0,-1.879,-79.2683,125.032,177.926,211.872
35,2254,1544.05,1478.22,13.064,295.855,-1.82908,-72.304,50.5089,116.872,22.286
36,2260,1500.58,1480.83,14.6369,243.706,-1.67395,-72.0024,50.4711,111.45,21.4169
37,2266,1436.9,1529.8,13.9863,90,-1.71125,-75.9372,88.2267,129.478,33.1033
38,2278,1526.6,1688.82,14.7418,0,-1.92933,-81.5502,163.826,207.193,184.158
39,2290,1529.8,1671.3,14.5298,0,-1.79317,-80.6179,146.382,193.605,317.213
40,2296,1523.4,1356.22,15.127,180,-1.95396,-81.5379,168.792,187.832,102.872
41,2302,1523.4,1327.43,15.2032,180,-2.35512,-82.9062,197.579,213.539,101.804
42,2308,1412.57,1526.6,15.6471,90,-1.66126,-78.0227,112.439,144.101,24.7308
43,2326,1520.2,1459.96,7.79443,180,-1.67652,-73.3659,65.2209,115.283,29.9843
44,2338,1529.8,1758.12,15.8127,0,-4.31494,-84.6278,233.165,267.521,25.1431
45,2350,1759.28,1520.2,11.2479,270,-5.46533,-84.0114,234.331,265.639,22.5811
46,2356,1740.95,1520.2,13.1127,270,-5.15433,-83.2937,215.999,250.035,32.7399
47,2362,1779.28,1520.2,12.5518,270,-5.91383,-84.7208,254.323,283.82,28.5181
48,2368,1299.21,1529.8,16.8628,90,-3.01152,-84.082,225.842,232.772,17.256
