171434,0,0,100.692,0,659.844,0,568.324,0,0,1102.68,7894.44,5573.1,496.95,179.139,2.64032,3.33478,1.76868,640.863,100.511,3.71752,464.065,542.845,157.257,3.91544,86.3097,82.067,4.20999,140.168,2.65419,4.64509,0,4.31139,4.83834,0,0,3.61713,0,4.77046,4.18154,4.78371,4.37151
0,171434,889.397,0,1715.55,0,384.973,1.50537,112.836,188.017,2.84813,2.11217,3.67253,3.37935,0,397.571,299.394,858.886,3.97944,2.75627,355.695,4.24925,4.4368,3.60598,5799.38,4.52862,4.06896,1335.63,4.53461,66.115,1607.58,4.89359,248.438,0,4.58295,4.69808,35.8791,4.67544,0,21.5482,0,0
0,889.397,171434,0,1829.28,0,691.943,1.39957,99.1002,154.408,2.8372,2.05704,3.69524,3.39033,0,807.359,512.306,416.894,4.01216,2.74304,762.484,4.29219,4.48528,3.62549,690.019,4.58431,4.1062,351.626,4.58705,59.9031,88.6425,4.97015,154.071,0,4.64447,4.76862,32.9294,4.75322,0,18.342,0,0
100.692,0,0,171434,0,114.393,0,114.909,0,0,83.9547,94.6746,79.9318,100.964,213.866,3.01031,3.55468,2.3906,82.989,723.846,3.84577,59.2929,54.1056,158.742,4.00371,55.2271,291.366,4.22633,67.0492,2.97403,4.57098,0,4.30786,4.70604,0,0,3.70777,0,4.62584,4.15604,4.56874,4.28141
0,1715.55,1829.28,0,171434,2.10385,512.973,2.81153,106.487,167.643,3.64612,3.18504,4.21694,4.00936,2.02155,580.418,422.56,583.447,4.43963,3.53477,563.084,4.6318,4.77175,4.15752,1789.32,4.77844,4.46294,714.266,4.81833,67.2521,1110.06,4.94838,255.815,96.9175,4.7292,4.75373,40.024,4.6415,0,32.4324,0,13.7575
659.844,0,0,114.393,2.10385,171434,2.8427,6032.25,2.43059,0.216962,437.76,732.792,582.615,6006.31,251.915,4.11253,4.46139,3.74856,2209.1,134.761,4.60138,316.848,345.196,270.089,4.68841,828.061,140.448,4.77131,636.839,3.95247,4.93829,87.9049,4.81157,4.94024,51.7319,25.05,4.30999,0,4.78575,4.53749,4.49018,4.4965
0,384.973,691.943,0,512.973,2.8427,171434,3.33922,89.0755,125.892,4.0064,3.64846,4.45703,4.29298,2.77492,2915.94,6001.78,275.31,4.63505,3.88491,1997.07,4.78244,4.89471,4.40221,364.178,4.84913,4.62234,270.07,4.91116,61.5389,270.069,4.88661,168.237,2716.61,4.73568,4.69709,39.5903,4.51919,48.1771,34.766,0,21.8413
568.324,1.50537,1.39957,114.909,2.81153,6032.25,3.33922,171434,2.99191,1.92995,411.01,652.66,541.506,171434,263.942,4.32665,4.61175,4.03229,1625.9,141.509,4.69949,313.275,342.407,295.685,4.76157,1149.82,153.724,4.7913,811.855,4.13981,4.88305,177.054,4.81634,4.8244,64.0788,51.0598,4.37406,0,4.6468,4.51213,4.24279,4.40363
0,112.836,99.1002,0,106.487,2.43059,89.0755,2.99191,171434,284.249,3.70086,3.31368,4.18664,4.01106,2.36237,87.4092,79.6801,126.101,4.37836,3.59586,80.7788,4.53854,4.6591,4.13592,94.2185,4.64463,4.38894,92.0052,4.69271,210.336,66.0741,4.74461,109.402,31.5186,4.57694,4.57156,76.4554,4.43651,19.9396,68.919,0,32.8183
0,188.017,154.408,0,167.643,0.216962,125.892,1.92995,284.249,171434,3.06388,2.43401,3.79631,3.53395,0,119.565,104.246,217.34,4.07337,2.96984,105.001,4.31609,4.48688,3.73396,133.209,4.55631,4.14474,125.962,4.57026,110.701,56.0555,4.86546,174.543,0,4.58648,4.67764,50.1136,4.63559,0,34.1775,0,0
1102.68,2.84813,2.8372,83.9547,3.64612,437.76,4.0064,411.01,3.70086,3.06388,171434,1125.2,1534.13,418.62,158.424,4.68689,4.89078,4.47456,534.189,106.74,4.90613,2153.75,10883.5,176.483,4.9323,285.493,116.074,4.88306,268.534,4.45643,4.85863,3716.52,4.88466,4.70028,62.0504,57.3927,4.52066,39.1218,4.47836,4.52511,3.87073,4.30522
7894.44,2.11217,2.05704,94.6746,3.18504,732.792,3.64846,652.66,3.31368,2.43401,1125.2,171434,3921.52,651.333,186.42,4.52702,4.78519,4.25946,998.672,116.186,4.84836,692.64,908.843,203.411,4.89778,371.094,124.202,4.90112,338.934,4.3188,4.95549,511.498,4.91784,4.86585,59.2516,50.1958,4.4936,20.2227,4.67082,4.58844,4.20271,4.44282
