-2943.04,-3.44991,-303.366,-4.05548,-4.09444,-4.68103,-71.0407,-114.807,-3.47092,-53.338,-4.68417,0,-4.67551,0,-4.74938,0,0
-3.44991,-2943.04,-4.5656,-225.418,-301.885,-248.993,-4.52694,-4.74682,-55.6969,-4.67141,-67.4564,-3.78005,-60.5166,-4.30877,-59.7661,-3.94779,-3.73548
-303.366,-4.5656,-2943.04,-4.70061,-4.69332,-4.6886,-107.707,-317.839,-4.34188,-92.5203,-4.48121,-353.728,-4.08519,-80.0839,-4.24531,-67.5665,-34.7673
-4.05548,-225.418,-4.70061,-2943.04,-866.454,-1165.57,-4.58754,-4.62321,-72.4791,-4.56347,-112.953,-3.03509,-121.501,-3.86966,-109.042,-3.35037,-3.08103
-4.09444,-301.885,-4.69332,-866.454,-2943.04,-2868.03,-4.57126,-4.58288,-67.3664,-4.52555,-100.872,-2.88452,-106.3,-3.77883,-97.3424,-3.22941,-2.94813
-4.68103,-248.993,-4.6886,-1165.57,-2868.03,-2943.04,-4.45134,-4.11725,-63.9439,-4.09654,-112.247,0,-129.214,-2.44455,-114.979,-0.968299,0
-71.0407,-4.52694,-107.707,-4.58754,-4.57126,-4.45134,-2943.04,-154.18,-4.29331,-862.925,-4.21392,-70.4536,-3.73148,-2943.04,-3.91029,-597.833,-135.722
-114.807,-4.74682,-317.839,-4.62321,-4.58288,-4.11725,-154.18,-2943.04,-4.43111,-135.854,-3.72565,-444.953,-2.83417,-154.76,-3.12287,-165.326,-77.9222
-3.47092,-55.6969,-4.34188,-72.4791,-67.3664,-63.9439,-4.29331,-4.43111,-2943.04,-4.37529,-152.73,-3.36137,-100.854,-3.93987,-123.274,-3.56162,-3.35531
-53.338,-4.67141,-92.5203,-4.56347,-4.52555,-4.09654,-862.925,-135.854,-4.37529,-2943.04,-3.72943,-87.9115,-2.89693,-654.22,-3.16765,-382.777,-242.842
-4.68417,-67.4564,-4.48121,-112.953,-100.872,-112.247,-4.21392,-3.72565,-152.73,-3.72943,-2943.04,0,-604.271,-1.3833,-2117.32,0,0
0,-3.78005,-353.728,-3.03509,-2.88452,0,-70.4536,-444.953,-3.36137,-87.9115,0,-2943.04,0,-126.05,0,-142.317,-80.295
-4.67551,-60.5166,-4.08519,-121.501,-106.3,-129.214,-3.73148,-2.83417,-100.854,-2.89693,-604.271,0,-2943.04,0,-856.427,0,0
0,-4.30877,-80.0839,-3.86966,-3.77883,-2.44455,-2943.04,-154.76,-3.93987,-654.22,-1.3833,-126.05,0,-2943.04,0,-1184.98,-205.973
-4.74938,-59.7661,-4.24531,-109.042,-97.3424,-114.979,-3.91029,-3.12287,-123.274,-3.16765,-2117.32,0,-856.427,0,-2943.04,0,0
0,-3.94779,-67.5665,-3.35037,-3.22941,-0.968299,-597.833,-165.326,-3.56162,-382.777,0,-142.317,0,-1184.98,0,-2943.04,-179.457
0,-3.73548,-34.7673,-3.08103,-2.94813,0,-135.722,-77.9222,-3.35531,-242.842,0,-80.295,0,-205.973,0,-179.457,-2943.04
