Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,6352,1750.49,26.6,31.3037,90,-1.84864,-84.1277,225.493,195.973,320.222
1,6358,1297.85,20.2,30.3632,270,-1.78522,-84.5619,227.2,272.037,127.529
2,6364,1289.65,20.2,31.6733,270,-1.75447,-84.9027,235.398,279.646,66.4732
3,6370,1769.82,33,31.5052,90,-1.7273,-84.8361,244.948,213.447,340.445
4,6376,1750.11,29.8,31.3037,90,-1.68697,-84.1143,225.16,195.723,322.123
5,6382,1711.13,33,30.9566,90,-1.73831,-82.4828,186.304,171.228,746.715
6,6388,1321.89,17,30.1883,270,-1.79131,-83.6437,203.268,251.677,113.838
7,6400,1738.39,26.6,30.9743,90,-1.69032,-83.6209,213.392,187.419,766.296
8,6406,1392.26,17,31.9329,270,-1.94933,-80.0451,132.978,183.469,270.335
9,6412,1348.23,23.4,28.9632,270,-1.92557,-82.3853,176.773,230.585,39.4738
10,6418,1692.73,29.8,32.4112,90,-1.72847,-81.5493,167.798,161.508,336.202
11,6430,1637.3,33,31.0661,90,-1.69536,-78.2027,112.584,140.529,690.356
12,6436,1332.39,23.4,33.6509,270,-1.87605,-83.17,192.619,218.438,27.0299
13,6442,1645.83,29.8,30.9561,90,-1.72145,-78.7239,120.922,135.532,431.965
14,6448,1652.65,26.6,32.4724,90,-1.68361,-79.2211,127.662,144.829,320.843
15,6454,1493.86,17,30.664,270,-1.70686,-68.6369,32.1531,150.453,437.367
16,6460,1482.97,20.2,30.9418,270,-1.78042,-70.4754,42.301,142.602,438.592
17,6466,1484.6,23.4,31.9281,270,-1.66163,-69.9805,40.4319,141.544,1282.36
18,6472,1592.7,33,31.3997,90,-1.64083,-74.0292,68.1759,133.633,531.653
19,6478,1607.42,26.6,30.7271,90,-1.66892,-75.4067,82.4329,134.348,449.121
20,6484,1537.6,33,32.2467,90,-1.79389,-63.1543,14.9257,137.258,498.187
21,6490,1576.82,29.8,31.7096,90,-1.64324,-71.6798,52.0464,133.207,1050.48
22,6496,1581.24,20.2,30.6886,270,-1.78847,-71.5711,56.4489,133.282,711.645
23,6502,1477.34,26.6,31.6959,90,-1.94519,-70.4652,47.684,157.209,992.924
24,6508,1528.69,29.8,32.0424,90,-1.87656,-57.4643,6.0538,138.563,442.495
25,6514,1562.63,26.6,32.1906,90,-1.78317,-68.7534,37.6662,133.977,1078.54
26,6520,1609.12,17,31.2061,270,-1.71196,-75.1819,84.4991,135.203,1301.35
27,6526,1530.33,23.4,31.2466,270,-1.78752,-55.5752,5.56556,138.153,570.787
28,6532,1518.68,26.6,31.7987,90,-1.88247,-56.6116,6.52148,140.914,793.773
29,6538,1644.62,20.2,31.8819,270,-1.73714,-78.1683,119.72,142.377,481.775
30,6544,1604.78,23.4,32.1735,270,-1.81681,-74.5254,79.7979,140.015,499.049
31,6550,1420.35,33,32.1805,90,-1.9344,-77.4515,104.96,185.591,987.242
32,6556,1671.48,23.4,31.6498,270,-1.81858,-79.9326,146.487,152.089,267.723
33,6562,1432.8,26.6,31.5264,90,-1.88604,-76.2437,92.2108,178.513,460.159
34,6568,1695.68,17,32.7813,270,-1.7329,-81.2189,170.872,163.34,140.818
35,6574,1710.69,20.2,31.2059,270,-1.65559,-81.9372,185.751,190.147,280.464
36,6586,1387.41,26.6,32.4008,90,-1.75663,-79.6975,137.597,225.724,296.617
37,6592,1714.16,23.4,31.3316,270,-1.68619,-82.1055,189.168,172.617,295.683
38,6598,1347.07,29.8,30.7628,90,-1.72128,-82.0255,177.998,231.584,302.819
39,6604,1763.36,17,32.6089,270,-1.72929,-84.1316,238.497,207.833,103.609
40,6610,1755.59,20.2,31.844,270,-1.72194,-83.822,230.644,230.361,99.5033
41,6622,1304.62,29.8,31.4787,90,-1.81825,-83.8475,220.433,266.143,331.943
42,6628,1282.32,26.6,31.7719,90,-1.77581,-84.6769,242.683,286.736,433.095
