40273.9,408.445,0,0,40273.9,18105.1,222.956,0,5968.23,0,0,703.099,148.635,0,1.92384,1140.59,478.66,219.476,1.53231,526.883,407.498,3.45424,0,1515.2,4.2521,0,266.771,152.476,235.801,4.78733,4.11659,2.97338,0,0,0,0,5.05551,4.62503,0,4.87535,4.80562,4.26874,0,4.88306,0,0,4.89591,4.90818,0,0
408.445,40273.9,0,0,412.656,399.924,484.397,0,400.183,0,0,239.274,230.313,0,1.16953,412.024,1362.59,482.787,0.407514,434.796,4157.63,3.1727,0,186.422,4.07429,0,580.04,277.191,975.604,4.70933,3.93182,2.63229,0,0,0,0,4.99435,4.50845,0,4.83921,4.7338,4.13045,0,4.82055,0,0,4.89593,4.91122,0,0
0,0,40273.9,2114.05,0,0,0,1178.38,0,3792.1,626.98,0,0,1217.57,212.893,2.85473,1.36316,0,120.982,3.64662,0,188.761,114.328,3.94814,74.4308,4.42481,3.9819,3.00965,4.02717,0,497.958,141.12,4.57015,4.53745,4.65307,4.67172,0,0,4.75596,0,0,26.6238,4.83748,0,4.7829,4.81926,0,0,4.82504,4.91639
0,0,2114.05,40273.9,0,0,0,757.42,0,4140.43,483.686,1.51438,0,777.133,254.501,3.31129,2.22425,0,116.943,3.97198,1.60305,239.917,109.672,4.22004,108.589,4.63456,4.24956,3.43449,4.29438,0,1285.07,137.372,4.7255,4.69902,4.79236,4.81363,0,0,4.8566,0,0,51.8666,4.89004,0,4.87103,4.91217,0,0,4.86266,4.96184
40273.9,412.656,0,0,40273.9,18242.3,224.973,0,6008.54,0,0,692.146,149.918,0,1.75737,1143.51,481.233,221.094,1.34692,525.006,409.947,3.35399,0,1491.95,4.17052,0,262.504,152.78,232.085,4.72522,4.03472,2.86522,0,0,0,0,4.99511,4.55633,0,4.82169,4.74519,4.1973,0,4.82453,0,0,4.84816,4.86182,0,0
18105.1,399.924,0,0,18242.3,40273.9,224.605,0,9647.83,3.1046,0,726.837,151.111,1.76119,3.72897,1514.35,553.533,233.219,3.45442,768.7,457.867,4.37903,2.64607,3016.84,4.77831,318.811,457.739,190.007,400.133,4.85478,4.67999,4.07432,4097.45,135.536,365.329,228.336,5.01187,4.88222,0,4.73528,4.84571,4.64603,0,4.87374,0,0,4.55749,4.55801,0,0
222.956,484.397,0,0,224.973,224.605,40273.9,0,223.408,1.53576,0,165.39,449.357,0,2.68591,221.209,347.379,11021.2,2.38116,217.238,417.563,3.79132,0,151.052,4.42847,60.6959,228.961,1657.31,250.875,4.80383,4.30884,3.39158,0,0,0,0,5.03189,4.70462,0,4.82762,4.81338,4.39516,0,4.87411,0,0,4.79051,4.79934,0,0
0,0,1178.38,757.42,0,0,0,40273.9,1.12805,876.799,1314.13,1.97988,0,26873.9,188.975,3.48085,2.54109,0,143.049,4.07596,2.0557,176.958,130.163,4.29526,95.0191,4.67361,4.32289,3.58986,4.36722,0,356.363,181.43,4.73561,4.71416,4.79362,4.81646,0,273.036,4.83542,0,0,73.9269,4.8411,0,4.84348,4.88704,0,0,4.80639,4.90864
5968.23,400.183,0,0,6008.54,9647.83,223.408,1.12805,40273.9,3.57011,0.698359,687.633,149.778,2.58852,4.09275,1859.67,589.966,235.95,3.82018,879.213,479.956,4.60427,3.17423,5257.89,4.91384,343.4,513.871,198.176,445.121,4.86635,4.82446,4.33118,30872.6,162.492,514.516,302.984,4.98957,4.94779,630.094,4.68332,4.84927,4.74381,0,4.86245,212.142,217.949,4.43942,4.43583,0,0
0,0,3792.1,4140.43,0,3.1046,1.53576,876.799,3.57011,40273.9,516.455,3.82393,2.07744,944.018,264.647,4.4436,4.03069,3.16901,131.676,4.72443,3.85964,279.046,116.616,4.78628,164.534,4.95496,4.8034,4.48557,4.84671,256.449,1288.07,168.892,4.82292,4.83535,4.82093,4.85622,48.4488,5445.03,4.69928,420.859,3432.56,105.737,4.48659,5062.93,4.65871,4.72343,0,0,4.38833,4.52284
