-116523,-169.005,-36.1428,-16.832,-27.5283,-17.9808,-40.8318,-20.907,-17.119,-36.8153,-39.5271,-16.6995,-19.1726,-24.2607,-15.6901,-12.4806,-41.1477,-27.3836,-42.039,-14.3024,-42.7697,-60.05,-23.6954,-35.8524,-57.0718,-31.9902,-12.1427,-54.0568,-75.2443,-9.8738,-40.2349,-33.8755,-106.654,-39.2979,-27.5783,-16.6881,-34.5326,-25.2002,-112.934,-9.2634,-34.8189,-35.2396,-61.2628,-14.5392,-25.4027
-169.005,-116523,-34.4662,-16.9859,-31.7682,-18.4721,-49.8186,-22.955,-19.3298,-45.3537,-48.0866,-17.4519,-20.8929,-28.9072,-17.5911,-13.4307,-54.684,-29.2132,-55.5264,-15.3803,-46.4095,-44.2589,-26.7645,-43.2717,-42.2246,-38.5463,-12.2701,-52.0549,-119.946,-10.7142,-53.8026,-32.0282,-148.546,-52.8791,-32.6707,-18.2214,-41.5648,-23.5293,-157.082,-9.99079,-32.7118,-31.9883,-60.6829,-15.6605,-22.2875
-36.1428,-34.4662,-116523,-44.242,-37.6151,-36.0683,-54.3463,-34.1201,-17.0642,-42.2023,-54.6688,-36.4916,-33.2242,-16.1323,-16.0271,-15.6128,-37.1527,-12.2782,-38.5046,-20.8359,-100.584,-44.1324,-13.2416,-55.3976,-37.9338,-40.3464,-22.5919,-22.8341,-24.3718,-12.5896,-35.7946,-17.5306,-32.0857,-34.4267,-19.0184,-11.7694,-55.5957,-70.6528,-32.2421,-11.6787,-17.8602,-99.5545,-24.218,-10.4758,-14.5901
-16.832,-16.9859,-44.242,-116523,-27.388,-62.113,-30.2646,-35.4049,-16.4311,-24.3516,-30.8317,-70.5511,-36.3779,-12.5334,-15.9235,-18.6305,-21.3148,-8.77039,-21.8262,-26.4244,-36.6381,-20.3207,-9.90062,-32.3731,-18.5369,-24.9917,-41.5195,-14.0662,-14.808,-19.3694,-20.7913,-11.4946,-17.9732,-20.254,-13.9523,-9.52328,-32.907,-40.6976,-17.9683,-18.1051,-11.6069,-38.492,-14.7373,-8.81652,-9.04752
-27.5283,-31.7682,-37.6151,-27.388,-116523,-40.6398,-99.6938,-95.3863,-37.4482,-134.026,-101.694,-43.0567,-105.692,-32.2494,-34.6247,-32.6335,-92.3911,-16.7424,-91.9839,-43.966,-66.0343,-20.4508,-20.1474,-107.211,-18.8115,-197.808,-19.6502,-18.2474,-31.731,-27.1488,-92.7526,-13.8225,-28.8544,-93.0686,-37.8744,-21.7078,-109.152,-24.532,-29.0305,-23.9074,-13.6512,-29.3284,-20.2117,-18.832,-5.93657
-17.9808,-18.4721,-36.0683,-62.113,-40.6398,-116523,-35.7529,-80.6579,-20.0586,-31.9583,-36.5156,-188.433,-71.5309,-14.569,-19.2806,-26.1456,-27.476,-9.7296,-27.8604,-50.2306,-38.3624,-19.4085,-10.9737,-38.6276,-17.9908,-34.756,-50.6423,-14.6509,-16.903,-46.3168,-27.0665,-12.0989,-18.9307,-26.6298,-16.3389,-10.5961,-39.3735,-31.2248,-18.9739,-34.3125,-12.1829,-31.4818,-15.4098,-9.62358,-9.67578
-40.8318,-49.8186,-54.3463,-30.2646,-99.6938,-35.7529,-116523,-53.9677,-29.6215,-314.926,-116523,-36.9195,-52.299,-29.0881,-27.2575,-24.6838,-204.916,-15.7522,-209.749,-31.4334,-125.369,-28.3957,-18.4634,-116523,-25.4691,-182.712,-21.184,-22.0129,-39.4292,-22.0181,-200.013,-15.6192,-39.9994,-195.024,-35.1762,-17.8919,-116523,-31.6498,-40.2505,-19.9751,-15.6481,-39.5255,-24.6282,-15.3483,-9.03211
-20.907,-22.955,-34.1201,-35.4049,-95.3863,-80.6579,-53.9677,-116523,-32.706,-57.2698,-55.1053,-86.7732,-279.894,-24.5759,-31.1265,-39.5885,-47.3238,-14.037,-47.3294,-67.956,-48.0729,-17.6673,-16.3874,-58.2546,-16.2862,-67.8689,-26.9062,-15.0382,-23.6352,-38.4624,-47.2925,-11.8114,-21.9605,-47.2352,-27.4618,-18.3758,-59.3665,-24.9252,-22.1246,-32.2111,-11.6497,-27.8209,-16.4374,-16.4912,-5.10113
-17.119,-19.3298,-17.0642,-16.4311,-37.4482,-20.0586,-29.6215,-32.706,-116523,-35.4904,-29.6613,-21.7444,-31.3655,-58.5713,-365.962,-37.0293,-36.3272,-15.6594,-35.6263,-32.3056,-23.9184,-12.9544,-22.2674,-29.6792,-12.2693,-36.855,-14.1802,-12.2094,-25.0975,-25.5861,-37.0282,-9.74867,-17.8092,-37.7312,-74.0354,-54.8164,-29.6532,-15.1973,-18.0984,-23.7015,-9.44828,-16.6879,-13.5974,-36.1713,-3.95519
-36.8153,-45.3537,-42.2023,-24.3516,-134.026,-31.9583,-314.926,-57.2698,-35.4904,-116523,-321.545,-33.1913,-56.2835,-36.235,-32.5875,-26.6651,-273.981,-19.0813,-274.225,-32.6168,-99.6558,-23.6847,-23.0622,-339.871,-21.6265,-390.195,-17.0207,-21.9192,-41.2584,-22.2122,-273.59,-15.8283,-38.3961,-273.049,-42.7066,-22.8067,-346.343,-24.8249,-38.5494,-20.0286,-15.6691,-31.5707,-24.6325,-19.6123,-5.99707
