Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,1810,1537.65,1529.8,9.15711,90,-1.73851,-61.9761,13.5305,64.9122,64.3152
1,1852,1542.58,1533,10.1781,90,-1.7632,-64.9591,19.3129,67.5801,52.5197
2,1876,1519.22,1529.8,6.98997,90,-1.74733,-58.305,7.51437,62.436,76.0873
3,1882,1516.65,1520.2,8.25409,270,-1.7508,-60.6585,9.631,62.2941,88.5011
4,1900,1510.51,1523.4,9.0609,270,-1.7971,-61.7063,14.5822,63.2604,83.6975
5,1906,1538.38,1526.6,9.60127,90,-1.75915,-60.7363,13.4752,64.6358,67.0839
6,1912,1504.21,1526.6,5.25823,90,-1.75879,-63.7975,20.8477,65.3135,81.7939
7,1930,1512.65,1517,9.30533,270,-1.80282,-63.3879,14.7128,63.5789,77.6044
8,1936,1519.44,1526.6,6.58438,90,-1.73745,-56.4916,5.78731,61.9296,74.7897
9,1942,1547.73,1520.2,3.656,270,-1.78092,-64.547,23.2337,68.7107,73.9004
10,1954,1520.96,1533,7.70072,90,-1.73339,-59.591,8.96086,63.2642,62.264
11,1966,1533.95,1520.2,5.66949,270,-1.7578,-59.7564,10.1548,63.4713,357.555
12,1972,1503.84,1529.8,4.89754,90,-1.76788,-64.6771,21.6984,65.8019,87.5898
13,1984,1530.34,1517,7.24864,270,-1.76495,-60.1802,9.62004,63.3147,68.0494
14,1996,1491.32,1526.6,2.54815,90,-1.83975,-67.7552,33.7183,71.415,69.528
15,2002,1528.24,1523.4,7.98681,270,-1.7173,-55.3136,3.61032,62.1922,89.3287
16,2020,1503.76,1533,4.40528,90,-1.78595,-65.7691,22.7005,66.5855,74.5249
17,2026,1544.55,1523.4,5.53007,270,-1.77224,-62.8617,19.6136,66.9667,153.983
18,2038,1517,1710.59,17.6482,180,-2.33159,-83.0757,185.765,203.599,14.7853
19,2044,1481.06,1529.8,0,90,-1.8725,-70.1517,44.2017,77.9186,63.8046
20,2050,1568.67,1523.4,0,270,-1.88523,-69.5162,43.6969,82.1997,64.5298
21,2056,1557.49,1523.4,3.20906,270,-1.80751,-67.007,32.5323,74.2881,75.179
22,2062,1517,1510.47,0,180,-1.79101,-63.252,16.5835,64.921,71.5385
23,2068,1481.17,1526.6,0,90,-1.86885,-69.9662,43.8611,77.6205,63.9784
24,2074,1533,1561.29,15.4394,0,-1.89878,-69.3043,37.1648,79.5784,20.1923
25,2080,1559.55,1520.2,1.93928,270,-1.80496,-67.717,34.8807,75.8033,69.9821
26,2086,1520.2,1499.78,12.0359,180,-1.80465,-65.6042,25.6726,70.0477,23.2803
27,2092,1490.63,1529.8,1.86257,90,-1.84355,-68.1878,34.7021,72.0582,74.9086
28,2098,1546.19,1517,5.70208,270,-1.78958,-65.0093,22.6528,68.5207,345.812
29,2104,1517,1503.03,0,180,-1.87825,-65.6234,23.3832,68.4113,71.3408
30,2110,1533,1668.26,17.3475,0,-2.32436,-80.4848,143.487,165.353,17.0487
31,2116,1576.86,1523.4,0,270,-1.92568,-70.9821,51.8879,88.6351,63.9748
32,2122,1473.24,1526.6,0,90,-1.95528,-71.3823,51.7833,83.333,63.9599
33,2128,1517,1367.53,17.6377,180,-2.31281,-80.9683,157.671,177.648,16.8977
34,2134,1764.8,1517,17.8282,270,-3.3089,-84.2091,239.934,256.655,14.4985
35,2140,1316.74,1529.8,18.103,90,-2.21061,-83.3927,208.319,213.924,43.6848
36,2146,1334.84,1526.6,18.432,90,-2.2082,-82.5835,190.167,197.569,45.5801
37,2158,1520.2,1401.22,20.1678,180,-2.31411,-78.834,123.875,147.159,16.9954
38,2164,1736.56,1523.4,19.9749,270,-2.51971,-83.1105,211.57,229.527,14.7819
39,2170,1304.86,1526.6,19.6727,90,-2.3402,-83.8648,220.143,225.198,23.427
