5014.72,0.618557,451.237,67.0306,0,0.939826,502.475,4.04032,0,97.9248,3.48433,3.86277,0,0,4.57287,4.4492
0.618557,5014.72,3.28229,4.87528,64.6207,82.5593,4.66896,193.446,4.79371,3.95608,58.487,75.3202,4.31142,4.31942,0,45.8202
451.237,3.28229,5014.72,80.8878,0.18093,3.20408,928.538,4.49408,23.822,143.867,4.16816,4.35531,0,0,4.28706,4.41904
67.0306,4.87528,80.8878,5014.72,4.11501,4.64254,107.076,4.48636,581.278,55.1449,4.53173,4.43014,227.582,121.304,2.28774,3.37795
0,64.6207,0.18093,4.11501,5014.72,352.962,3.90089,57.4067,4.65892,2.58407,571.573,202.826,4.49836,4.48431,0,0
0.939826,82.5593,3.20408,4.64254,352.962,5014.72,4.4605,113.044,4.53502,3.81797,235.541,2083.49,4.07197,4.08424,11.9767,5014.72
502.475,4.66896,928.538,107.076,3.90089,4.4605,5014.72,4.38852,82.3879,122.128,4.41283,4.33226,133.512,296.466,2.48641,3.41467
4.04032,193.446,4.49408,4.48636,57.4067,113.044,4.38852,5014.72,3.0181,4.48109,85.6238,137.273,1.25481,1.45182,350.859,121.135
0,4.79371,23.822,581.278,4.65892,4.53502,82.3879,3.0181,5014.72,35.5032,3.61323,3.13681,192.762,119.249,0,0
97.9248,3.95608,143.867,55.1449,2.58407,3.81797,122.128,4.48109,35.5032,5014.72,4.30003,4.37706,25.8814,35.8409,3.76029,4.10232
3.48433,58.487,4.16816,4.53173,571.573,235.541,4.41283,85.6238,3.61323,4.30003,5014.72,226.084,2.60661,2.68638,83.933,229.604
3.86277,75.3202,4.35531,4.43014,202.826,2083.49,4.33226,137.273,3.13681,4.37706,226.084,5014.72,1.67374,1.81976,174.545,1729.62
0,4.31142,0,227.582,4.49836,4.07197,133.512,1.25481,192.762,25.8814,2.60661,1.67374,5014.72,311.318,0,0
0,4.31942,0,121.304,4.48431,4.08424,296.466,1.45182,119.249,35.8409,2.68638,1.81976,311.318,5014.72,0,0
4.57287,0,4.28706,2.28774,0,11.9767,2.48641,350.859,0,3.76029,83.933,174.545,0,0,5014.72,182.838
4.4492,45.8202,4.41904,3.37795,0,5014.72,3.41467,121.135,0,4.10232,229.604,1729.62,0,0,182.838,5014.72
