Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,6472,1769.12,29.8,30.977,90,-1.61406,-84.7971,244.166,251.602,1853.93
1,6478,1318.09,17,31.2007,270,-1.60829,-83.828,207.068,212.712,477.698
2,6490,1707.45,33,31.2035,90,-1.8621,-82.3586,182.621,201.08,1718.94
3,6502,1724.94,29.8,31.1641,90,-1.80537,-83.1044,200,213.217,1176.11
4,6508,1307.19,20.2,32.2326,270,-1.57211,-84.2292,217.86,221.702,121.208
5,6520,1337.21,23.4,31.3844,270,-1.63971,-82.9288,187.801,197.63,799.64
6,6526,1694.29,33,31.8562,90,-1.71769,-81.6899,169.478,192.664,484.01
7,6532,1721.56,26.6,31.5683,90,-1.73476,-82.9185,196.565,210.578,6519.84
8,6538,1360.24,17,32.4917,270,-1.60022,-81.8897,164.952,162.229,841.99
9,6550,1653.49,29.8,31.0044,90,-1.75703,-79.3022,128.584,169.275,1366.81
10,6556,1624.85,33,31.7814,90,-1.72103,-77.1486,100.173,156.893,515.639
11,6562,1406.96,17,31.8372,270,-1.59325,-79.0603,118.31,143.092,633.543
12,6568,1424.02,20.2,31.6437,270,-1.55445,-77.5976,101.096,147.13,843.594
13,6574,1381.59,23.4,31.8323,270,-1.46543,-80.6343,143.417,151.285,487.277
14,6580,1581.32,33,31.1977,90,-1.73024,-72.6467,56.8842,143.253,2020.5
15,6586,1632.03,26.6,30.9496,90,-1.67969,-77.7079,107.039,159.309,1036.21
16,6592,1467.45,17,31.4415,270,-1.68672,-73.2099,58.1012,136.999,1205.93
17,6598,1426.17,23.4,31.7393,270,-1.55229,-77.3797,98.8389,146.156,837.659
18,6604,1580.73,29.8,31.5611,90,-1.71319,-72.214,55.9372,142.892,2245.92
19,6610,1676.61,26.6,31.9377,90,-1.66917,-80.7288,151.62,164.767,1476.94
20,6616,1468.28,20.2,31.5981,270,-1.68324,-72.8305,56.9211,136.545,883.279
21,6622,1534.42,26.6,30.982,90,-1.67105,-59.1149,9.55663,134.729,2249.15
22,6628,1513.21,17,31.8896,270,-1.68617,-63.7611,14.2504,136.093,1170.57
23,6634,1549.35,20.2,31.6218,270,-1.71626,-65.0021,24.8174,136.344,1009.92
24,6640,1531.38,33,31.6782,90,-1.63854,-60.1999,10.2313,134.987,500.532
25,6646,1505.56,29.8,31.1738,90,-1.70881,-64.0497,20.019,134.587,1460.8
26,6652,1457.15,29.8,31.4814,90,-1.63166,-73.5733,68.0234,146.543,603.905
27,6658,1471.59,26.6,31.8308,90,-1.59566,-71.5505,53.433,136.139,575.825
28,6664,1470.26,23.4,31.3563,270,-1.6185,-72.3297,54.7615,136.178,942.02
29,6670,1609.32,17,32.5313,270,-1.72343,-75.2089,84.6976,151.745,111.597
30,6676,1644.09,20.2,31.0821,270,-1.71326,-78.0909,119.191,164.772,273.389
31,6682,1428.68,33,32.5046,90,-1.63281,-76.7422,96.6499,145.967,121.681
32,6688,1549.09,23.4,36.9191,270,-1.67517,-64.3896,24.1406,136.181,26.9972
33,6694,1643.33,23.4,33.8049,270,-1.70443,-77.9693,118.345,182.295,34.9477
34,6700,1408.25,29.8,30.7069,90,-1.5362,-78.3338,116.849,153.873,213.289
35,6706,1427.61,26.6,32.2495,90,-1.62172,-76.6813,97.4018,160.302,199.024
36,6712,1383.12,26.6,31.2562,90,-1.5094,-80.0459,141.889,167.394,525.176
37,6718,1719.88,23.4,31.5404,270,-1.81741,-82.3972,194.891,209.488,399.77
38,6724,1344.56,33,31.0093,90,-1.63688,-82.1738,180.614,192.678,1328.25
39,6730,1351.03,29.8,31.4502,90,-1.67095,-81.8315,174.038,187.97,404.296
40,6736,1757.15,20.2,30.9013,270,-1.79489,-83.9269,232.195,240.345,97.8739
41,6754,1762.88,23.4,31.7985,270,-1.90671,-84.1413,237.887,245.498,129.228
42,6760,1286.95,29.8,31.3382,90,-1.54425,-84.5142,238.096,241.369,433.666
43,6766,1318.85,26.6,32.9469,90,-1.60319,-83.2421,206.158,211.822,66.3282
