-13547.7,-13547.7,-1407.31,-73.9917,-509.9,-2.99394,0,-425.47,-24.6418,0,-3.81939,-2.56156,-4.49224,0,-4.56544,0,-4.63486,0,-4.59724
-13547.7,-13547.7,-1361.41,-73.9337,-678.527,-4.23157,-2.01404,-794.352,-60.0244,-908.71,-4.46034,-3.92092,-4.72317,0,-4.56846,-52.3033,-4.66121,0,-4.3163
-1407.31,-1361.41,-13547.7,-69.5221,-1580.29,-4.34514,-2.35753,-482.262,-59.1815,-3406.4,-4.5182,-4.04203,-4.73357,0,-4.54908,-52.1922,-4.64518,0,-4.25557
-73.9917,-73.9337,-69.5221,-13547.7,-52.946,-3.48293,0,-53.6866,-2136.46,0,-3.96996,-3.15343,-4.41119,0,-4.38884,-596.848,-4.46246,0,-4.30652
-509.9,-678.527,-1580.29,-52.946,-13547.7,-4.79077,-4.11658,-426.181,-69.308,-1233.02,-4.48555,-4.58032,-4.15986,-462.264,-3.63141,-63.6352,-3.76307,-66.3489,-2.72383
-2.99394,-4.23157,-4.34514,-3.48293,-4.79077,-13547.7,-91.4688,-4.74675,-4.47327,-4.32867,-101.775,-90.6126,-580.015,-3.31654,-102.329,-4.40042,-129.942,-3.20934,-56.0022
0,-2.01404,-2.35753,0,-4.11658,-91.4688,-13547.7,-4.32373,-4.21972,-4.54706,-4709.94,-726.78,-53.7538,-4.35787,0,-4.24697,0,-4.24566,0
-425.47,-794.352,-482.262,-53.6866,-426.181,-4.74675,-4.32373,-13547.7,-83.0545,-600.267,-4.32646,-4.56837,-3.82235,-1049.7,-3.16123,-75.6077,-3.30718,-93.7865,-1.87208
-24.6418,-60.0244,-59.1815,-2136.46,-69.308,-4.47327,-4.21972,-83.0545,-13547.7,-72.3886,-4.01411,-4.33425,-3.40875,-68.029,-2.68042,-878.377,-2.83097,-249.725,-0.93418
0,-908.71,-3406.4,0,-1233.02,-4.32867,-4.54706,-600.267,-72.3886,-13547.7,-3.53107,-4.25134,-2.2001,-1159.72,0,-67.5086,-0.164938,-94.2332,0
-3.81939,-4.46034,-4.5182,-3.96996,-4.48555,-101.775,-4709.94,-4.32646,-4.01411,-3.53107,-13547.7,-666.689,-120.205,-1.68385,-517.744,-3.89087,-278.616,-1.58129,-488.458
-2.56156,-3.92092,-4.04203,-3.15343,-4.58032,-90.6126,-726.78,-4.56837,-4.33425,-4.25134,-666.689,-13547.7,-90.4919,-3.41739,-234.283,-4.27757,-159.965,-3.31783,-2119.43
-4.49224,-4.72317,-4.73357,-4.41119,-4.15986,-580.015,-53.7538,-3.82235,-3.40875,-2.2001,-120.205,-90.4919,-13547.7,0,-156.918,-3.18762,-208.431,0,-97.8749
0,0,0,0,-462.264,-3.31654,-4.35787,-1049.7,-68.029,-1159.72,-1.68385,-3.41739,0,-13547.7,0,-64.4362,0,-107.283,0
-4.56544,-4.56846,-4.54908,-4.38884,-3.63141,-102.329,0,-3.16123,-2.68042,0,-517.744,-234.283,-156.918,0,-13547.7,-2.36122,-652.465,0,-284.525
0,-52.3033,-52.1922,-596.848,-63.6352,-4.40042,-4.24697,-75.6077,-878.377,-67.5086,-3.89087,-4.27757,-3.18762,-64.4362,-2.36122,-13547.7,-2.52496,-193.4,0
-4.63486,-4.66121,-4.64518,-4.46246,-3.76307,-129.942,0,-3.30718,-2.83097,-0.164938,-278.616,-159.965,-208.431,0,-652.465,-2.52496,-13547.7,0,-195.726
0,0,0,0,-66.3489,-3.20934,-4.24566,-93.7865,-249.725,-94.2332,-1.58129,-3.31783,0,-107.283,0,-193.4,0,-13547.7,0
-4.59724,-4.3163,-4.25557,-4.30652,-2.72383,-56.0022,0,-1.87208,-0.93418,0,-488.458,-2119.43,-97.8749,0,-284.525,0,-195.726,0,-13547.7
