Index,VehicleID,posX,posY,Speed,Angle,dBmVeh,dBmRSU,Dis2RSU,AvgDIS,AvgLET
0,2656,1309.24,17,33.7917,270,-4.14059,-84.1346,215.905,244.905,74.2599
1,2674,1626.34,33,30.8715,90,-4.89003,-77.336,101.652,161.312,36.8898
2,2692,1401.48,17,34.4753,270,-4.63673,-79.3856,123.776,183.987,102.933
3,2698,1547.16,17,30.8482,270,-4.57191,-65.0014,23.5629,149.385,6146.87
4,2704,1722.47,29.8,35.6766,90,-4.41016,-82.9589,197.53,207.999,98.8812
5,2710,1656.02,29.8,34.1836,90,-4.59449,-79.516,131.106,159.528,717.57
6,2716,1532.98,20.2,34.2508,270,-4.80638,-58.679,9.31507,147.884,133.818
7,2722,1462.75,33,32.3052,90,-4.31924,-73.1103,62.7583,155.645,67.8514
8,2728,1678.66,17,31.5945,270,-4.13767,-80.2982,153.869,201.006,62.5533
9,2734,1467.45,20.2,36.6883,270,-4.85134,-72.8209,57.7459,154.023,35.3828
10,2740,1508.26,26.6,36.1028,90,-4.78672,-61.8735,16.8188,147.779,100.662
11,2746,1507.43,29.8,34.4561,90,-4.79044,-63.0543,18.2098,152.314,324.083
12,2752,1769.78,17,32.2826,270,-4.02636,-84.3918,244.912,245.169,53.7653
13,2758,1766.07,20.2,33.3272,270,-4.00973,-84.25,241.119,241.518,53.3849
14,2770,1300.3,33,33.0976,90,-3.5471,-84.0347,224.843,253.708,48.6061
15,2776,1358.65,29.8,34.8471,90,-4.58777,-81.4114,166.419,209.101,432.243
