-80865.5,-623.825,0,0,-604.101,-467.302,-0.307309,0,-1329.67,-39530.8,0,0,-2.94716,-594.941,-6044.51,-633.136,-3.22433,0,0,-3462.34,-531.318,-812.477,-2.33389,-1.69413,-3.88037,-3.37951,-2.98673,-622.135,-614.646,-580.076,-197.957,-300.269,-4.35188,-4.02688,-154.879,-3.69082,-4.72921,-4.5567,-4.20328,0,0,-4.86175,-4.59186,-4.94778,-4.92022,0,0,-4.77306,0
-623.825,-80865.5,0,0,-305.41,-267.282,-1.181,0,-1085.85,-618.382,0,0,-3.1365,-10687.5,-531.166,-303.957,-3.38962,-0.769994,0,-593.389,-18435.5,-1387.47,-2.58691,-2.06399,-3.99072,-3.53146,-3.17505,-1613.93,-269.758,-241.759,-137.344,-162.784,-4.42177,-4.12896,-111.34,-3.81402,-4.7705,-4.61427,-4.28417,0,0,-4.87783,-4.64283,-4.95867,-4.90975,0,0,-4.79327,0
0,0,-80865.5,-1422.94,0,-1.12053,-1106.29,-106.258,-2.39988,-2.20806,-1740.66,-101.106,-480.135,-3.46496,-3.07344,-3.47532,-375.617,-1169.47,-527.049,-4.01602,-3.99585,-4.07694,-486.096,-746.164,-636.977,-2175.31,-867.954,-4.40581,-4.42365,-4.51036,-4.58722,-4.77603,-1336.97,-1230.36,-4.69259,-279.367,-317.866,-1754,-168.888,-4.91278,-4.96743,-2466.13,-181.568,0,0,-4.90967,-4.53671,-55.2102,-4.66003
0,0,-1422.94,-80865.5,0,0,-585.671,-102,0,0,-787.591,-96.4551,-654.075,-1.93145,-0.692804,-1.91297,-452.925,-611.586,-371.566,-3.07597,-2.96489,-3.08547,-325.956,-454.228,-1027.92,-2951.24,-469.54,-3.72157,-3.76261,-4.00245,-4.14345,-4.44018,-348.911,-80865.5,-4.39729,-186.772,0,-259.556,-100.897,-4.90678,-4.80536,0,-36.1399,0,0,-5.01614,-4.80455,0,-4.87202
-604.101,-305.41,0,0,-80865.5,-2113.52,-2.25969,0,-421.367,-595.483,0,0,-3.54017,-301.361,-658.738,-4835.98,-3.73321,-2.11752,-1.4018,-479.763,-279.941,-334.565,-3.12921,-2.79742,-4.18562,-3.84075,-3.57519,-292.333,-1706.08,-1227.93,-648.482,-2304.77,-4.49931,-4.2987,-1490.77,-4.04779,-4.75719,-4.65204,-4.39732,0,-104.753,-4.79202,-4.66381,-4.85488,-4.74762,0,0,-4.72641,0
-467.302,-267.282,-1.12053,0,-2113.52,-80865.5,-2.6599,0,-355.741,-467.664,0,0,-3.77573,-268.251,-506.592,-1423.75,-3.94845,-2.55243,-2.01519,-395.008,-251.694,-292.939,-3.40665,-3.12756,-4.34576,-4.04295,-3.80821,-261.547,-884.615,-730.853,-1193.43,-898.431,-4.61205,-4.449,-7321.7,-4.22074,-4.833,-4.74864,-4.52283,0,-118.413,-4.83489,-4.75194,-4.89004,-4.75484,0,0,-4.77489,0
-0.307309,-1.181,-1106.29,-585.671,-2.25969,-2.6599,-80865.5,-111.035,-3.32377,-3.2433,-3052.27,-105.901,-343.675,-4.02766,-3.76547,-4.0417,-289.504,-26449.9,-979.91,-4.39202,-4.40614,-4.47235,-903.117,-2288.32,-414.388,-728.717,-4716.76,-4.67261,-4.68031,-4.69272,-4.73713,-4.86683,-2453.96,-577.302,-4.76127,-413.929,-274.235,-1569.15,-232.61,-4.80358,-4.95554,-712.876,-292.133,-441.631,-1262.39,-4.72533,-4.23934,-108.591,-4.40473
0,0,-106.258,-102,0,0,-111.035,-80865.5,0,0,-114.577,-1698.74,-71.4593,-0.919626,0,-0.81317,-65.2811,-110.509,-129.034,-2.54415,-2.38671,-2.52436,-117.338,-111.02,-57.5971,-75.7468,-96.2809,-3.2812,-3.33169,-3.62178,-3.78168,-4.10153,-32.6639,-56.3372,-4.07547,-108.393,0,0,-93.8044,-4.64927,-4.50337,0,0,0,0,-4.78675,-4.63626,0,-4.68722
-1329.67,-1085.85,-2.39988,0,-421.367,-355.741,-3.32377,0,-80865.5,-1432.91,-1.62392,0,-4.17439,-1235.67,-1133.25,-468.061,-4.30907,-3.26376,-2.9166,-1911.88,-1136.18,-3470.81,-3.87998,-3.68903,-4.59718,-4.37922,-4.20345,-2126.5,-491.83,-493.273,-244.569,-382.301,-4.7623,-4.68097,-275.031,-4.49988,-4.89872,-4.86365,-4.70302,-970.912,-549.955,-4.82075,-4.84874,-4.85744,-4.64854,-152.187,0,-4.77741,0
-39530.8,-618.382,-2.20806,0,-595.483,-467.664,-3.2433,0,-1432.91,-80865.5,-1.22918,0,-4.16029,-662.62,-5575.88,-681.525,-4.30522,-3.17259,-2.78569,-4491.47,-620.449,-964.401,-3.84496,-3.63247,-4.62227,-4.3809,-4.18887,-796.298,-761.066,-796.198,-292.907,-546.524,-4.81457,-4.7111,-347.692,-4.51528,-4.97611,-4.92596,-4.74495,-324.225,-326.424,-4.92023,-4.91467,-4.96249,-4.77468,0,0,-4.86894,0
