-2222.74,0,-3.3201,0,-16.1266,-25.4135,0,0,-13.1595,-3.508,-64.7716,-27.1933,-4.30795,-16.3958,-103.34,-31.8388,-11.679,-16.64,-30.4457,-9.45376,-10.0938,-1.84664,-0.489639,-26.5118,-9.12182
0,-2222.74,0,-352.011,-8.5738,-4.37546,-2222.74,-152.519,-4.31667,-17.2372,-5.12853,-8.19317,-31.0905,-8.27293,0,-3.91967,-15.6376,-5.93559,-6.03831,-72.3203,0,-24.9472,-26.8726,-1.00266,0
-3.3201,0,-2222.74,-5.80935,-3.65177,-23.486,-10.5172,-13.007,-60.1694,-5.51428,-5.48828,-4.99821,-9.83868,-48.7212,-4.62065,-15.9785,-10.9372,-41.9746,-11.8164,-23.5898,-26.3531,-9.54067,-9.90533,0,-23.992
0,-352.011,-5.80935,-2222.74,-8.98077,-6.37779,-302.572,-108.208,-6.53738,-16.3479,-6.23445,-8.92799,-28.7054,-10.0772,0,-5.54212,-15.9042,-8.36384,-7.29391,-74.5055,0,-23.6233,-25.4621,-1.91388,0
-16.1266,-8.5738,-3.65177,-8.98077,-2222.74,-17.9095,-10.0144,-11.0978,-9.58615,-20.4223,-34.0752,-67.0286,-15.1065,-12.8271,-22.2899,-18.5503,-27.7017,-13.2813,-22.6894,-9.513,-7.46706,-9.86674,-5.96393,-13.2901,-6.26933
-25.4135,-4.37546,-23.486,-6.37779,-17.9095,-2222.74,-9.59017,-12.1978,-28.1189,-10.5111,-35.7165,-28.1715,-12.8366,-83.7657,-20.5193,-110.494,-34.8745,-62.3203,-334.378,-17.4944,-17.5549,-8.93295,-7.35012,-30.7497,-14.4306
0,-2222.74,-10.5172,-302.572,-10.0144,-9.59017,-2222.74,-174.672,-10.5677,-16.0862,-8.07008,-10.515,-28.8595,-13.361,-2.23165,-8.171,-18.0101,-12.5496,-9.62738,-222.295,-129.398,-22.8217,-24.5295,-3.41565,0
0,-152.519,-13.007,-108.208,-11.0978,-12.1978,-174.672,-2222.74,-13.6769,-16.4281,-9.60015,-12.0928,-30.5101,-16.1489,-4.92421,-10.2594,-20.8497,-16.1167,-11.7491,-307.955,-152.406,-22.6876,-24.2487,-4.67039,-29.1932
-13.1595,-4.31667,-60.1694,-6.53738,-9.58615,-28.1189,-10.5677,-13.6769,-2222.74,-8.16992,-13.6206,-12.2874,-11.454,-46.571,-11.5717,-22.8954,-16.509,-51.7152,-21.3894,-26.3067,-29.9019,-9.54246,-9.21044,-15.1016,-25.0086
-3.508,-17.2372,-5.51428,-16.3479,-20.4223,-10.5111,-16.0862,-16.4281,-8.16992,-2222.74,-12.1174,-18.0698,-32.137,-10.3865,-6.42323,-9.99053,-21.4816,-10.1331,-12.2151,-9.75714,-6.36193,-136.381,-115.228,-6.84466,-5.32304
