119338,317.716,215.75,0,410.31,0,0,1049.79,145.966,0,4.11528,1656.89,4.29672,97.4205,3.72613,4.74521,0,0,4.81301,4.10394,4.44052
317.716,119338,129.253,0,1028.23,0,0,329.647,99.7078,1.11116,4.33682,172.909,4.49161,69.2808,3.95895,4.8581,15.4967,0,4.87381,4.28179,4.57954
215.75,129.253,119338,0,138.681,0,0,153.967,564.822,1.5484,4.29756,148.626,4.4302,2953.6,3.95088,4.73451,55.1171,0,4.71862,4.23179,4.49296
0,0,0,119338,0,1445.49,225.025,2.51155,0,344.622,37.4655,3.56179,0,3.7356,340.464,0,4.0322,4.49359,0,0,0
410.31,1028.23,138.681,0,119338,1.16212,3.25571,640.76,117.77,3.67707,4.93118,350.156,4.92043,130.218,4.67296,4.72644,63.0027,49.3697,4.34127,4.67841,4.70128
0,0,0,1445.49,1.16212,119338,202.518,3.2599,1.1776,493.1,60.2519,4.00196,46.9438,4.11389,836.939,0,4.29964,4.57775,0,91.2545,0
0,0,0,225.025,3.25571,202.518,119338,4.18716,3.17318,148.884,175.051,4.56529,163.298,4.58813,155.552,130.348,4.60016,4.53292,0,79.5733,74.2059
1049.79,329.647,153.967,2.51155,640.76,3.2599,4.18716,119338,138.449,4.34101,4.90963,942.371,4.79668,188.038,4.73912,4.19089,84.9543,123.611,3.40792,4.56253,4.39112
145.966,99.7078,564.822,0,117.77,1.1776,3.17318,138.449,119338,3.57897,4.77117,149.966,4.7605,462.894,4.53147,4.57513,193.802,338.38,4.20493,4.53867,4.55891
0,1.11116,1.5484,344.622,3.67707,493.1,148.884,4.34101,3.57897,119338,77.7206,4.58196,74.3973,4.57404,817.867,60.1825,4.5214,4.29506,0,289.468,544.6
4.11528,4.33682,4.29756,37.4655,4.93118,60.2519,175.051,4.90963,4.77117,77.7206,119338,4.66162,119338,4.51635,98.5724,389.889,4.14156,2.85449,357.671,70.7147,77.7039
1656.89,172.909,148.626,3.56179,350.156,4.00196,4.56529,942.371,149.966,4.58196,4.66162,119338,4.46065,242.537,4.57392,3.43423,99.4929,178.983,2.0244,4.24841,3.89122
4.29672,4.49161,4.4302,0,4.92043,46.9438,163.298,4.79668,4.7605,74.3973,119338,4.46065,119338,4.29263,98.635,404.487,3.85385,2.21656,383.229,71.5969,79.6599
97.4205,69.2808,2953.6,3.7356,130.218,4.11389,4.58813,188.038,462.894,4.57404,4.51635,242.537,4.29263,119338,4.45791,3.13953,169.031,1203.96,1.38828,4.09507,3.6836
3.72613,3.95895,3.95088,340.464,4.67296,836.939,155.552,4.73912,4.53147,817.867,98.5724,4.57392,98.635,4.45791,119338,116.541,4.1543,3.13989,97.7689,246.357,393.749
4.74521,4.8581,4.73451,0,4.72644,0,130.348,4.19089,4.57513,60.1825,389.889,3.43423,404.487,3.13953,116.541,119338,2.26662,0,9096.98,82.1269,98.1384
0,15.4967,55.1171,4.0322,63.0027,4.29964,4.60016,84.9543,193.802,4.5214,4.14156,99.4929,3.85385,169.031,4.1543,2.26662,119338,187.88,0,3.68834,3.11473
0,0,0,4.49359,49.3697,4.57775,4.53292,123.611,338.38,4.29506,2.85449,178.983,2.21656,1203.96,3.13989,0,187.88,119338,0,2.14621,0
4.81301,4.87381,4.71862,0,4.34127,0,0,3.40792,4.20493,0,357.671,2.0244,383.229,1.38828,97.7689,9096.98,0,0,119338,73.8097,92.0301
4.10394,4.28179,4.23179,0,4.67841,91.2545,79.5733,4.56253,4.53867,289.468,70.7147,4.24841,71.5969,4.09507,246.357,82.1269,3.68834,2.14621,73.8097,119338,620.754
4.44052,4.57954,4.49296,0,4.70128,0,74.2059,4.39112,4.55891,544.6,77.7039,3.89122,79.6599,3.6836,393.749,98.1384,3.11473,0,92.0301,620.754,119338
