11087,0,0,286.473,3414.6,142.668,0,0,144.482,0,173.991,103.281,0,102.116,0,3.88513,3.22689,4.33429,0,4.79524,12.8849,4.48403,4.64183
0,11087,320.594,0,0,0,350.078,138.09,0,99.0832,0,1.69474,4.68341,4.10407,42.8502,43.1087,42.1614,0,4.25609,0,4.01386,0,0
0,320.594,11087,0,0,0,2746.03,235.745,0,156.84,0.270852,3.08711,4.80523,4.46426,52.1771,103.542,64.935,71.432,4.44049,0,4.30594,0,0
286.473,0,0,11087,300.018,279.099,0,0,287.297,0,454.635,174.85,0,2600.17,0,3.82818,3.16275,4.28365,0,4.76314,9.59026,4.45697,4.61108
3414.6,0,0,300.018,11087,146.303,2.30327,0,150.116,2.81882,189.57,120.621,311.401,235.128,2.35287,4.44861,4.07673,4.65374,34.8705,4.55535,44.1306,4.32245,4.46893
142.668,0,0,279.099,146.303,11087,0,0,8275.26,0.93032,668.27,715.581,0,138.324,0,4.03874,3.49315,4.40179,0,4.69796,44.5733,4.41914,4.56787
0,350.078,2746.03,0,2.30327,0,11087,210.923,0,151.307,2.36461,3.69253,4.84114,4.64882,51.8493,114.988,69.0378,94.8998,4.51782,0,4.44978,0,0
0,138.09,235.745,0,0,0,210.923,11087,0,455.712,0,2.13478,4.62625,4.12876,64.003,202.743,82.2163,0,4.23489,0,4.02745,0,0
144.482,0,0,287.297,150.116,8275.26,0,0,11087,1.66697,734.143,668.522,0,163.958,0.814973,4.15318,3.66097,4.47136,26.698,4.66777,54.0806,4.40142,4.5488
0,99.0832,156.84,0,2.81882,0.93032,151.307,455.712,1.66697,11087,2.85905,3.86508,4.70648,4.60093,77.525,2125.08,142.074,1516.58,4.428,0,4.39587,0,0
173.991,0,0.270852,454.635,189.57,668.27,2.36461,0,734.143,2.85905,11087,353.696,69.8424,334.244,2.40558,4.43331,4.07376,4.63084,49.7957,4.528,65.1061,4.3037,4.44558
103.281,1.69474,3.08711,174.85,120.621,715.581,3.69253,2.13478,668.522,3.86508,353.696,11087,82.5251,185.066,3.53053,4.51185,4.36034,4.50881,95.1227,3.80237,113.639,3.71245,3.82193
0,4.68341,4.80523,0,311.401,0,4.84114,4.62625,0,4.70648,69.8424,82.5251,11087,213.918,4.48805,3.63981,4.06031,2.92337,55.4487,0,57.3844,0,0
102.116,4.10407,4.46426,2600.17,235.128,138.324,4.64882,4.12876,163.958,4.60093,334.244,185.066,213.918,11087,4.34189,4.16799,4.34639,3.79097,73.2721,0.645688,78.9687,1.44777,1.42855
0,42.8502,52.1771,0,2.35287,0,51.8493,64.003,0.814973,77.525,2.40558,3.53053,4.48805,4.34189,11087,67.1608,144.049,56.0848,4.22621,0,4.17226,0,0
3.88513,43.1087,103.542,3.82818,4.44861,4.03874,114.988,202.743,4.15318,2125.08,4.43331,4.51185,3.63981,4.16799,67.1608,11087,161.125,11087,3.6534,125.511,3.88211,72.4129,350.158
3.22689,42.1614,64.935,3.16275,4.07673,3.49315,69.0378,82.2163,3.66097,142.074,4.07376,4.36034,4.06031,4.34639,144.049,161.125,11087,155.447,3.9636,53.8358,4.09413,127.078,190.844
4.33429,0,71.432,4.28365,4.65374,4.40179,94.8998,0,4.47136,1516.58,4.63084,4.50881,2.92337,3.79097,56.0848,11087,155.447,11087,3.1188,139.506,3.47911,79.0672,394.716
0,4.25609,4.44049,0,34.8705,0,4.51782,4.23489,26.698,4.428,49.7957,95.1227,55.4487,73.2721,4.22621,3.6534,3.9636,3.1188,11087,0,1002.16,0,0
4.79524,0,0,4.76314,4.55535,4.69796,0,0,4.66777,0,4.528,3.80237,0,0.645688,0,125.511,53.8358,139.506,0,11087,0,55.3466,113.238
12.8849,4.01386,4.30594,9.59026,44.1306,44.5733,4.44978,4.02745,54.0806,4.39587,65.1061,113.639,57.3844,78.9687,4.17226,3.88211,4.09413,3.47911,1002.16,0,11087,0.773238,0.695783
4.48403,0,0,4.45697,4.32245,4.41914,0,0,4.40142,0,4.3037,3.71245,0,1.44777,0,72.4129,127.078,79.0672,0,55.3466,0.773238,11087,106.338
4.64183,0,0,4.61108,4.46893,4.56787,0,0,4.5488,0,4.44558,3.82193,0,1.42855,0,350.158,190.844,394.716,0,113.238,0.695783,106.338,11087
